,state,county,2019,2020,2021,2020 yoy diff,2021 yoy diff
129,California,Napa County,677770.8333333334,726416.6666666666,827386.25,48645.833333333256,100969.58333333337
130,California,Nevada County,456274.3333333333,516979.1666666667,625750.0,60704.83333333337,108770.83333333331
131,California,Orange County,712437.5,767169.75,890166.6666666666,54732.25,122996.91666666663
132,California,Placer County,495020.8333333333,530416.25,636687.0833333334,35395.416666666686,106270.83333333337
133,California,Riverside County,387552.9583333333,427561.6666666667,519714.4166666667,40008.70833333337,92152.75
134,California,Sacramento County,366250.8333333333,403041.6666666667,481208.3333333333,36790.83333333337,78166.66666666663
135,California,San Benito County,583970.75,622554.1666666666,753412.5,38583.41666666663,130858.33333333337
136,California,San Bernardino County,350750.0,384982.9166666667,459375.0,34232.916666666686,74392.08333333331
137,California,San Diego County,580474.5833333334,629460.5416666666,739520.8333333334,48985.958333333256,110060.29166666674
138,California,San Francisco County,1396125.0,1424666.6666666667,1448250.0,28541.666666666744,23583.333333333256
139,California,San Joaquin County,373625.0,409937.5,489458.3333333333,36312.5,79520.83333333331
140,California,San Luis Obispo County,604353.75,637625.0,738437.0833333334,33271.25,100812.08333333337
141,California,San Mateo County,1358833.3333333333,1444583.3333333333,1567291.6666666667,85750.0,122708.33333333349
142,California,Santa Barbara County,601145.8333333334,711541.6666666666,832625.0,110395.83333333326,121083.33333333337
143,California,Santa Clara County,1125333.3333333333,1208937.5,1365071.0,83604.16666666674,156133.5
144,California,Santa Cruz County,818083.3333333334,889459.2916666666,1043291.6666666666,71375.95833333326,153832.375
145,California,Solano County,439000.0,478770.8333333333,547375.0,39770.833333333314,68604.16666666669
146,California,Sonoma County,624541.6666666666,665208.3333333334,732031.5416666666,40666.666666666744,66823.20833333326
147,California,Stanislaus County,323083.3333333333,355567.4166666667,419572.9166666667,32484.083333333372,64005.5
148,California,Sutter County,309291.6666666667,355944.44444444444,406450.0,46652.77777777775,50505.55555555556
149,California,Ventura County,600645.8333333334,652812.5,760750.0,52166.66666666663,107937.5
150,California,Yolo County,447679.7916666667,478604.1666666667,548625.0,30924.375,70020.83333333331
151,California,Yuba County,314775.0,332929.1666666667,399491.6666666667,18154.166666666686,66562.5
152,Colorado,Adams County,365479.1666666667,392270.8333333333,455416.6666666667,26791.666666666628,63145.83333333337
153,Colorado,Alamosa County,178814.15,201022.91666666666,227412.5,22208.766666666663,26389.583333333343
154,Colorado,Arapahoe County,378940.8333333333,405009.625,470555.2916666667,26068.791666666686,65545.66666666669
155,Colorado,Boulder County,522542.9166666667,558841.6666666666,647179.1666666666,36298.74999999994,88337.5
156,Colorado,Broomfield County,502003.4166666667,521688.4166666667,610146.6666666666,19685.0,88458.24999999994
157,Colorado,Chaffee County,407266.625,431187.5,540040.8333333334,23920.875,108853.33333333337
158,Colorado,Cheyenne County,66562.5,76387.75,113755.55555555556,9825.25,37367.80555555556
159,Colorado,Clear Creek County,383495.8333333333,471011.625,563915.625,87515.79166666669,92904.0
160,Colorado,Conejos County,184833.33333333334,321568.75,287250.0,136735.41666666666,-34318.75
161,Colorado,Costilla County,154354.16666666666,157683.33333333334,217926.125,3329.166666666686,60242.79166666666
162,Colorado,Denver County,429327.125,468604.1666666667,530566.6666666666,39277.041666666686,61962.49999999994
163,Colorado,Douglas County,483000.0,518498.375,616388.7916666666,35498.375,97890.41666666663
164,Colorado,Eagle County,746725.0,807486.75,1024083.3333333334,60761.75,216596.58333333337
165,Colorado,Elbert County,519304.1666666667,532429.1666666666,635124.1666666666,13124.999999999942,102695.0
166,Colorado,Gilpin County,405150.0,452796.2916666667,519413.25,47646.291666666686,66616.95833333331
167,Colorado,Jackson County,274677.2727272727,232972.22222222222,272863.63636363635,-41705.05050505049,39891.414141414134
168,Colorado,Jefferson County,431497.9166666667,466529.1666666667,550770.8333333334,35031.25,84241.66666666669
169,Colorado,Kit Carson County,164658.33333333334,190862.5,192310.45833333334,26204.166666666657,1447.958333333343
170,Colorado,Lake County,291537.5,319495.8333333333,431021.875,27958.333333333314,111526.04166666669
171,Colorado,Larimer County,390312.375,408227.4166666667,470987.4166666667,17915.041666666686,62760.0
172,Colorado,Lincoln County,168879.16666666666,188541.66666666666,171195.83333333334,19662.5,-17345.833333333314
173,Colorado,Logan County,158975.0,172708.33333333334,202585.41666666666,13733.333333333343,29877.083333333314
174,Colorado,Morgan County,251365.75,264302.9166666667,303195.625,12937.166666666686,38892.708333333314
175,Colorado,Park County,357118.9583333333,400168.75,492791.6666666667,43049.791666666686,92622.91666666669
176,Colorado,Phillips County,171863.63636363635,171000.0,204071.66666666666,-863.636363636353,33071.66666666666
177,Colorado,Rio Blanco County,197962.5,207345.83333333334,208045.83333333334,9383.333333333343,700.0
178,Colorado,Routt County,494683.3333333333,574674.4583333334,742295.8333333334,79991.12500000006,167621.375
179,Colorado,Saguache County,196754.16666666666,253041.66666666666,326233.3333333333,56287.5,73191.66666666666
180,Colorado,Sedgwick County,109285.71428571429,202285.7142857143,139638.88888888888,93000.0,-62646.825396825414
181,Colorado,Summit County,612178.3333333334,646918.75,852820.8333333334,34740.41666666663,205902.08333333337
182,Colorado,Washington County,168308.33333333334,164312.5,190614.54545454544,-3995.833333333343,26302.04545454544
183,Colorado,Weld County,349343.0416666667,373122.1666666667,433169.6666666667,23779.125,60047.5
184,Colorado,Yuma County,156704.16666666666,186020.83333333334,203833.33333333334,29316.666666666686,17812.5
185,Columbia,District of Columbia,586425.0,631662.5416666666,666862.5416666666,45237.54166666663,35200.0
186,Connecticut,Fairfield County,382104.1666666667,454902.9166666667,502708.3333333333,72798.75,47805.41666666663
187,Connecticut,Hartford County,212363.33333333334,235066.66666666666,262627.5,22703.333333333314,27560.833333333343
188,Connecticut,Litchfield County,208204.16666666666,256591.66666666666,274746.25,48387.5,18154.583333333343
189,Connecticut,Middlesex County,256822.91666666666,279466.6666666667,314900.0,22643.75000000003,35433.333333333314
190,Connecticut,New Haven County,211041.66666666666,235079.16666666666,271400.0,24037.5,36320.83333333334
191,Connecticut,New London County,218033.33333333334,243220.83333333334,273416.6666666667,25187.5,30195.833333333343
192,Connecticut,Tolland County,216116.66666666666,242817.91666666666,277916.6666666667,26701.25,35098.75000000003
193,Connecticut,Windham County,190862.5,220487.5,255508.33333333334,29625.0,35020.83333333334
194,Delaware,Kent County,227279.16666666666,243383.33333333334,283225.0,16104.166666666686,39841.66666666666
195,Delaware,New Castle County,236234.04166666666,257212.5,282458.3333333333,20978.458333333343,25245.833333333314
196,Florida,Alachua County,216761.45833333334,230071.41666666666,259145.0,13309.958333333314,29073.583333333343
197,Florida,Baker County,205412.5,226574.91666666666,278329.1666666667,21162.416666666657,51754.25000000003
198,Florida,Bradford County,174394.33333333334,167940.41666666666,210204.16666666666,-6453.916666666686,42263.75
199,Florida,Brevard County,228395.83333333334,251990.0,293675.0,23594.166666666657,41685.0
200,Florida,Broward County,268179.1666666667,298638.7083333333,338466.0833333333,30459.541666666628,39827.375
201,Florida,Charlotte County,220405.0,241149.16666666666,297091.6666666667,20744.166666666657,55942.50000000003
202,Florida,Citrus County,185883.33333333334,181062.5,246708.33333333334,-4820.833333333343,65645.83333333334
203,Florida,Clay County,222478.75,237666.58333333334,288783.3333333333,15187.833333333343,51116.74999999997
204,Florida,Collier County,345878.25,384781.875,477191.6666666667,38903.625,92409.79166666669
205,Florida,DeSoto County,146657.29166666666,176920.83333333334,228508.33333333334,30263.541666666686,51587.5
206,Florida,Duval County,204023.5,224608.08333333334,262207.5,20584.583333333343,37599.41666666666
207,Florida,Escambia County,199607.29166666666,223522.08333333334,254027.91666666666,23914.791666666686,30505.833333333314
208,Florida,Flagler County,281965.0,289795.8333333333,325488.8333333333,7830.833333333314,35693.0
209,Florida,Franklin County,289666.75,308635.4166666667,362016.6666666667,18968.666666666686,53381.25
210,Florida,Gadsden County,161552.41666666666,173125.0,209929.16666666666,11572.583333333343,36804.16666666666
211,Florida,Glades County,141420.83333333334,177475.0,187387.5,36054.16666666666,9912.5
212,Florida,Hardee County,,75750.0,211311.5,,135561.5
213,Florida,Hendry County,150537.5,169766.66666666666,206226.75,19229.166666666657,36460.08333333334
214,Florida,Hernando County,177904.16666666666,203406.25,251755.375,25502.083333333343,48349.125
215,Florida,Hillsborough County,237804.95833333334,262508.3333333333,316725.8333333333,24703.37499999997,54217.5
216,Florida,Indian River County,237418.33333333334,252186.875,302007.25,14768.541666666657,49820.375
217,Florida,Jefferson County,249287.5,246100.0,299629.1666666667,-3187.5,53529.166666666686
218,Florida,Lake County,237620.83333333334,257252.70833333334,304452.25,19631.875,47199.54166666666
219,Florida,Lee County,235091.875,256620.83333333334,312845.4166666667,21528.958333333343,56224.58333333334
220,Florida,Leon County,201208.33333333334,226883.45833333334,241182.08333333334,25675.125,14298.625
